exp,wks,occ,ind,south,smsa,ms,fem,union,ed,blk,lwage,id,t,tdum1,tdum2,tdum3,tdum4,tdum5,tdum6,tdum7,exp2
13,48,0,0,0,0,0,1,0,14,0,6.39526,15,5,0,0,0,0,1,0,0,169
14,41,0,0,0,0,0,1,0,14,0,6.47697,15,6,0,0,0,0,0,1,0,196
15,48,0,0,0,0,0,1,0,14,0,6.47697,15,7,0,0,0,0,0,0,1,225
16,50,1,0,1,1,0,1,0,12,1,5.97889,16,1,1,0,0,0,0,0,0,256
17,50,1,0,1,1,0,1,0,12,1,5.78383,16,2,0,1,0,0,0,0,0,289
18,48,1,0,1,1,0,1,0,12,1,5.85793,16,3,0,0,1,0,0,0,0,324
19,48,1,0,1,1,0,1,0,12,1,5.95324,16,4,0,0,0,1,0,0,0,361
20,50,1,0,1,1,0,1,0,12,1,6.14633,16,5,0,0,0,0,1,0,0,400
21,50,1,0,1,1,0,1,0,12,1,6.17587,16,6,0,0,0,0,0,1,0,441
22,49,1,0,1,1,0,1,0,12,1,6.38856,16,7,0,0,0,0,0,0,1,484
16,49,0,1,0,0,1,0,0,14,0,6.62007,17,1,1,0,0,0,0,0,0,256
17,48,0,1,0,0,1,0,0,14,0,6.49224,17,2,0,1,0,0,0,0,0,289
18,49,0,1,0,0,1,0,0,14,0,6.77992,17,3,0,0,1,0,0,0,0,324
19,50,0,1,0,0,1,0,0,14,0,6.74524,17,4,0,0,0,1,0,0,0,361
20,51,0,1,0,0,1,0,0,14,0,7.09008,17,5,0,0,0,0,1,0,0,400
21,46,0,1,0,0,1,0,0,14,0,7.1309,17,6,0,0,0,0,0,1,0,441
22,47,0,1,0,0,1,0,0,14,0,7.1309,17,7,0,0,0,0,0,0,1,484
25,47,0,1,1,1,1,0,0,16,0,6.90575,18,1,1,0,0,0,0,0,0,625
26,46,0,1,1,1,1,0,0,16,0,6.90575,18,2,0,1,0,0,0,0,0,676
27,47,0,1,1,1,1,0,0,16,0,7.6009,18,3,0,0,1,0,0,0,0,729
28,47,0,1,1,1,1,0,0,16,0,7.64969,18,4,0,0,0,1,0,0,0,784
29,47,0,1,1,1,1,0,0,16,0,7.71869,18,5,0,0,0,0,1,0,0,841
30,48,0,1,1,1,1,0,0,16,0,7.78322,18,6,0,0,0,0,0,1,0,900
31,47,0,1,1,1,1,0,0,16,0,7.80384,18,7,0,0,0,0,0,0,1,961
40,37,1,1,0,1,1,0,1,12,0,6.38688,19,1,1,0,0,0,0,0,0,1600
41,49,1,1,0,1,1,0,1,12,0,6.47389,19,2,0,1,0,0,0,0,0,1681
42,50,1,1,0,1,1,0,1,12,0,6.54247,19,3,0,0,1,0,0,0,0,1764
43,47,1,1,0,1,1,0,1,12,0,6.67582,19,4,0,0,0,1,0,0,0,1849
44,47,1,1,0,1,1,0,1,12,0,6.7417,19,5,0,0,0,0,1,0,0,1936
45,25,1,1,0,1,1,0,1,12,0,6.83195,19,6,0,0,0,0,0,1,0,2025
46,40,1,1,0,1,1,0,1,12,0,6.93634,19,7,0,0,0,0,0,0,1,2116
25,50,0,0,0,0,1,0,0,16,0,6.78333,20,1,1,0,0,0,0,0,0,625
26,49,0,1,0,0,1,0,0,16,0,6.85751,20,2,0,1,0,0,0,0,0,676
27,49,0,1,0,0,1,0,0,16,0,6.98472,20,3,0,0,1,0,0,0,0,729
28,48,0,1,0,0,1,0,0,16,0,7.0579,20,4,0,0,0,1,0,0,0,784
29,48,0,1,0,0,1,0,0,16,0,7.20564,20,5,0,0,0,0,1,0,0,841
30,49,0,1,0,0,1,0,0,16,0,7.10988,20,6,0,0,0,0,0,1,0,900
31,48,0,1,0,0,1,0,0,16,0,7.26683,20,7,0,0,0,0,0,0,1,961
28,42,1,1,1,0,1,0,1,4,0,6.05912,21,1,1,0,0,0,0,0,0,784
29,46,1,1,1,0,1,0,1,4,0,6.05209,21,2,0,1,0,0,0,0,0,841
30,49,1,1,1,0,1,0,1,4,0,5.99146,21,3,0,0,1,0,0,0,0,900
31,49,1,1,1,0,1,0,1,4,0,6.21461,21,4,0,0,0,1,0,0,0,961
32,48,1,0,1,0,1,0,1,4,0,6.32436,21,5,0,0,0,0,1,0,0,1024
33,45,1,0,1,0,1,0,1,4,0,6.44254,21,6,0,0,0,0,0,1,0,1089
34,42,1,1,1,0,1,0,1,4,0,6.44254,21,7,0,0,0,0,0,0,1,1156
20,46,0,0,0,0,1,0,0,14,0,6.59987,22,1,1,0,0,0,0,0,0,400
21,45,0,0,0,0,1,0,0,14,0,6.59987,22,2,0,1,0,0,0,0,0,441
22,44,0,0,0,0,1,0,0,14,0,6.68461,22,3,0,0,1,0,0,0,0,484
23,46,0,0,0,0,1,0,0,14,0,6.72743,22,4,0,0,0,1,0,0,0,529
24,47,0,0,0,0,1,0,0,14,0,6.88244,22,5,0,0,0,0,1,0,0,576
25,51,0,1,0,0,1,0,0,14,0,6.95655,22,6,0,0,0,0,0,1,0,625
26,47,0,0,0,0,1,0,0,14,0,7.04752,22,7,0,0,0,0,0,0,1,676
11,50,0,0,0,1,1,0,0,16,0,6.90575,23,1,1,0,0,0,0,0,0,121
12,50,0,0,0,1,1,0,0,16,0,6.90575,23,2,0,1,0,0,0,0,0,144
13,51,0,0,0,1,1,0,0,16,0,7.49554,23,3,0,0,1,0,0,0,0,169
14,50,0,0,0,1,1,0,0,16,0,7.66153,23,4,0,0,0,1,0,0,0,196
15,48,0,0,0,1,1,0,0,16,0,7.86327,23,5,0,0,0,0,1,0,0,225
16,47,0,0,0,1,1,0,0,16,0,8.03916,23,6,0,0,0,0,0,1,0,256
17,50,0,0,0,1,1,0,0,16,0,7.89357,23,7,0,0,0,0,0,0,1,289
5,30,0,0,0,0,0,1,0,12,0,5.43808,24,1,1,0,0,0,0,0,0,25
6,51,0,0,0,0,0,1,0,12,0,5.52146,24,2,0,1,0,0,0,0,0,36
7,51,1,0,0,0,0,1,0,12,0,5.57973,24,3,0,0,1,0,0,0,0,49
8,52,1,0,0,0,0,1,0,12,0,5.66988,24,4,0,0,0,1,0,0,0,64
9,49,1,0,0,0,0,1,0,12,0,5.73657,24,5,0,0,0,0,1,0,0,81
10,51,1,0,0,0,0,1,1,12,0,5.84354,24,6,0,0,0,0,0,1,0,100
11,50,1,0,0,0,0,1,0,12,0,5.85793,24,7,0,0,0,0,0,0,1,121
8,37,0,0,0,1,1,0,1,17,0,6.52942,25,1,1,0,0,0,0,0,0,64
9,39,0,0,0,1,1,0,1,17,0,6.57925,25,2,0,1,0,0,0,0,0,81
10,40,0,0,0,1,1,0,1,17,0,6.71538,25,3,0,0,1,0,0,0,0,100
11,38,0,0,0,1,1,0,1,17,0,6.68461,25,4,0,0,0,1,0,0,0,121
12,38,0,0,0,1,1,0,1,17,0,6.79122,25,5,0,0,0,0,1,0,0,144
13,39,0,0,0,1,1,0,1,17,0,6.97541,25,6,0,0,0,0,0,1,0,169
14,41,0,0,0,1,1,0,1,17,0,6.90776,25,7,0,0,0,0,0,0,1,196
14,48,0,1,1,1,1,0,0,15,0,6.47697,26,1,1,0,0,0,0,0,0,196
15,47,1,1,1,1,1,0,0,15,0,6.55108,26,2,0,1,0,0,0,0,0,225
16,49,0,1,1,1,1,0,0,15,0,6.86693,26,3,0,0,1,0,0,0,0,256
17,48,0,1,1,1,1,0,0,15,0,6.85646,26,4,0,0,0,1,0,0,0,289
18,47,0,1,1,1,1,0,0,15,0,7.27932,26,5,0,0,0,0,1,0,0,324
19,47,0,1,1,1,1,0,0,15,0,7.54961,26,6,0,0,0,0,0,1,0,361
20,48,0,1,1,1,1,0,0,15,0,7.36708,26,7,0,0,0,0,0,0,1,400
8,50,0,0,0,1,0,0,0,16,0,6.01616,27,1,1,0,0,0,0,0,0,64
9,52,0,0,0,1,0,0,0,16,0,6.90575,27,2,0,1,0,0,0,0,0,81
10,48,0,0,0,0,0,0,0,16,0,7.04752,27,3,0,0,1,0,0,0,0,100
11,50,0,0,0,0,0,0,0,16,0,7.26193,27,4,0,0,0,1,0,0,0,121
12,50,0,0,0,0,0,0,0,16,0,7.09008,27,5,0,0,0,0,1,0,0,144
13,45,0,0,0,0,0,0,0,16,0,6.96319,27,6,0,0,0,0,0,1,0,169
14,23,0,0,0,0,0,0,0,16,0,7.31322,27,7,0,0,0,0,0,0,1,196
26,50,1,0,0,1,1,0,0,12,0,6.7334,28,1,1,0,0,0,0,0,0,676
27,50,1,0,0,1,1,0,0,12,0,6.69703,28,2,0,1,0,0,0,0,0,729
28,50,1,0,0,1,1,0,0,12,0,6.68461,28,3,0,0,1,0,0,0,0,784
29,50,1,0,0,1,1,0,0,12,0,6.74524,28,4,0,0,0,1,0,0,0,841
30,50,1,0,0,1,1,0,0,12,0,6.73102,28,5,0,0,0,0,1,0,0,900
31,49,1,0,0,1,1,0,0,12,0,6.80239,28,6,0,0,0,0,0,1,0,961
32,49,1,0,0,1,1,0,0,12,0,6.74524,28,7,0,0,0,0,0,0,1,1024
31,49,0,0,0,1,1,0,0,14,0,6.90575,29,1,1,0,0,0,0,0,0,961
32,49,0,0,0,1,1,0,0,14,0,6.90575,29,2,0,1,0,0,0,0,0,1024
33,49,0,0,0,1,1,0,0,14,0,7.06219,29,3,0,0,1,0,0,0,0,1089
34,49,0,0,0,1,1,0,0,14,0,7.57558,29,4,0,0,0,1,0,0,0,1156
35,50,0,0,0,1,1,0,0,14,0,7.67322,29,5,0,0,0,0,1,0,0,1225
36,49,0,0,0,1,1,0,0,14,0,7.47307,29,6,0,0,0,0,0,1,0,1296
37,49,0,0,0,1,1,0,0,14,0,7.56008,29,7,0,0,0,0,0,0,1,1369
17,47,0,0,1,1,0,1,0,12,0,6.19644,30,1,1,0,0,0,0,0,0,289
18,47,0,0,1,1,0,1,0,12,0,6.29895,30,2,0,1,0,0,0,0,0,324
19,48,0,0,1,1,0,1,0,12,0,6.3315,30,3,0,0,1,0,0,0,0,361
20,49,0,0,1,1,0,1,0,12,0,6.36303,30,4,0,0,0,1,0,0,0,400
21,49,0,0,1,1,0,1,0,12,0,6.48158,30,5,0,0,0,0,1,0,0,441
22,45,0,0,1,1,0,1,0,12,0,6.57786,30,6,0,0,0,0,0,1,0,484
23,49,0,0,1,1,0,1,0,12,0,6.64379,30,7,0,0,0,0,0,0,1,529
22,48,0,1,0,1,1,0,0,17,0,6.90575,31,1,1,0,0,0,0,0,0,484
23,48,0,1,0,1,1,0,0,17,0,6.90575,31,2,0,1,0,0,0,0,0,529
24,48,0,1,0,1,1,0,0,17,0,7.31322,31,3,0,0,1,0,0,0,0,576
25,47,0,1,0,1,1,0,0,17,0,7.24423,31,4,0,0,0,1,0,0,0,625
26,43,0,1,0,1,1,0,0,17,0,7.48437,31,5,0,0,0,0,1,0,0,676
27,47,0,0,0,1,1,0,0,17,0,7.54961,31,6,0,0,0,0,0,1,0,729
28,45,0,1,0,1,1,0,0,17,0,7.61332,31,7,0,0,0,0,0,0,1,784
30,50,0,1,0,1,1,0,0,16,0,6.90575,32,1,1,0,0,0,0,0,0,900
31,49,0,1,0,1,1,0,0,16,0,6.90575,32,2,0,1,0,0,0,0,0,961
32,49,0,1,0,1,1,0,0,16,0,7.46737,32,3,0,0,1,0,0,0,0,1024
33,48,0,1,0,1,1,0,0,16,0,7.40853,32,4,0,0,0,1,0,0,0,1089
34,49,0,1,0,1,1,0,0,16,0,7.60589,32,5,0,0,0,0,1,0,0,1156
35,47,0,1,0,1,1,0,0,16,0,8.04879,32,6,0,0,0,0,0,1,0,1225
36,47,0,1,0,1,1,0,0,16,0,7.74066,32,7,0,0,0,0,0,0,1,1296
14,51,0,0,0,1,1,0,0,16,0,6.90575,33,1,1,0,0,0,0,0,0,196
15,47,0,0,0,1,1,0,0,16,0,6.90575,33,2,0,1,0,0,0,0,0,225
16,51,0,0,0,1,1,0,0,16,0,7.17012,33,3,0,0,1,0,0,0,0,256
17,47,0,0,0,1,1,0,0,16,0,7.27932,33,4,0,0,0,1,0,0,0,289
18,48,0,0,0,1,1,0,0,16,0,7.24065,33,5,0,0,0,0,1,0,0,324
19,50,0,0,0,1,1,0,0,16,0,7.37776,33,6,0,0,0,0,0,1,0,361
20,49,0,0,0,1,1,0,0,16,0,7.46737,33,7,0,0,0,0,0,0,1,400
45,48,1,0,1,0,1,0,0,8,0,5.7589,34,1,1,0,0,0,0,0,0,2025
46,48,1,0,1,0,1,0,0,8,0,5.86079,34,2,0,1,0,0,0,0,0,2116
47,48,1,0,1,0,1,0,0,8,0,5.82305,34,3,0,0,1,0,0,0,0,2209
48,49,1,0,1,0,1,0,0,8,0,5.94803,34,4,0,0,0,1,0,0,0,2304
49,50,1,0,1,0,1,0,0,8,0,6.24804,34,5,0,0,0,0,1,0,0,2401
50,48,1,0,1,0,1,0,0,8,0,6.20658,34,6,0,0,0,0,0,1,0,2500
51,46,1,0,1,0,1,0,0,8,0,5.98394,34,7,0,0,0,0,0,0,1,2601
8,30,1,0,0,1,1,0,1,13,1,6.51471,35,1,1,0,0,0,0,0,0,64
9,49,1,1,0,1,1,0,1,13,1,6.6107,35,2,0,1,0,0,0,0,0,81
10,48,1,1,0,1,1,0,1,13,1,6.39693,35,3,0,0,1,0,0,0,0,100
11,49,1,1,0,1,1,0,1,13,1,6.75227,35,4,0,0,0,1,0,0,0,121
12,34,1,1,0,1,1,0,1,13,1,6.88653,35,5,0,0,0,0,1,0,0,144
13,48,1,1,0,1,1,0,1,13,1,7.01212,35,6,0,0,0,0,0,1,0,169
14,45,1,1,0,1,1,0,1,13,1,7.02554,35,7,0,0,0,0,0,0,1,196
15,52,1,0,1,1,1,0,0,10,0,6.62007,36,1,1,0,0,0,0,0,0,225
16,47,0,0,1,1,1,0,0,10,0,6.77422,36,2,0,1,0,0,0,0,0,256
17,50,0,0,1,0,1,0,0,10,0,7.1309,36,3,0,0,1,0,0,0,0,289
18,50,0,0,1,0,1,0,0,10,0,7.08841,36,4,0,0,0,1,0,0,0,324
19,48,0,0,1,1,1,0,0,10,0,7.1309,36,5,0,0,0,0,1,0,0,361
20,50,0,0,1,1,1,0,0,10,0,6.90776,36,6,0,0,0,0,0,1,0,400
21,41,0,0,1,1,1,0,0,10,0,7.18007,36,7,0,0,0,0,0,0,1,441
12,52,0,0,0,1,1,0,0,14,0,6.90575,37,1,1,0,0,0,0,0,0,144
13,47,0,0,0,1,1,0,0,14,0,6.7417,37,2,0,1,0,0,0,0,0,169
14,50,0,0,0,1,1,0,0,14,0,7.00307,37,3,0,0,1,0,0,0,0,196
15,49,0,0,0,1,1,0,0,14,0,7.1309,37,4,0,0,0,1,0,0,0,225
16,50,0,0,0,1,1,0,0,14,0,7.14283,37,5,0,0,0,0,1,0,0,256
17,48,0,0,0,1,1,0,0,14,0,7.28276,37,6,0,0,0,0,0,1,0,289
18,49,0,0,0,1,0,0,0,14,0,7.40914,37,7,0,0,0,0,0,0,1,324
10,48,1,1,0,0,1,0,1,12,0,6.05209,38,1,1,0,0,0,0,0,0,100
11,49,1,1,0,0,1,0,1,12,0,6.05209,38,2,0,1,0,0,0,0,0,121
12,48,1,1,0,0,1,0,1,12,0,6.05209,38,3,0,0,1,0,0,0,0,144
13,48,1,1,0,0,1,0,1,12,0,6.36819,38,4,0,0,0,1,0,0,0,169
14,49,1,1,0,0,1,0,1,12,0,6.43615,38,5,0,0,0,0,1,0,0,196
15,48,0,1,0,0,1,0,1,12,0,6.54965,38,6,0,0,0,0,0,1,0,225
16,49,1,1,0,0,1,0,1,12,0,6.52209,38,7,0,0,0,0,0,0,1,256
6,47,0,0,0,1,1,0,0,13,0,6.47697,39,1,1,0,0,0,0,0,0,36
7,51,0,0,0,1,0,0,0,13,0,6.58617,39,2,0,1,0,0,0,0,0,49
8,48,0,0,0,1,0,0,0,13,0,6.47697,39,3,0,0,1,0,0,0,0,64
9,50,0,0,0,1,0,0,0,13,0,6.52942,39,4,0,0,0,1,0,0,0,81
10,50,0,0,0,1,0,0,0,13,0,6.80239,39,5,0,0,0,0,1,0,0,100
11,52,0,0,0,1,0,0,0,13,0,6.77992,39,6,0,0,0,0,0,1,0,121
12,51,0,0,0,1,1,0,0,13,0,6.80793,39,7,0,0,0,0,0,0,1,144
30,47,0,0,1,0,1,0,1,8,0,6.35784,40,1,1,0,0,0,0,0,0,900
31,39,0,0,1,0,1,0,1,8,0,6.49979,40,2,0,1,0,0,0,0,0,961
32,32,0,0,1,0,1,0,1,8,0,6.58203,40,3,0,0,1,0,0,0,0,1024
33,35,0,0,1,0,1,0,1,8,0,6.69456,40,4,0,0,0,1,0,0,0,1089
34,47,0,0,1,0,1,0,1,8,0,6.78784,40,5,0,0,0,0,1,0,0,1156
35,45,0,0,1,0,1,0,1,8,0,6.90776,40,6,0,0,0,0,0,1,0,1225
36,47,0,0,1,0,1,0,1,8,0,7.35819,40,7,0,0,0,0,0,0,1,1296
20,50,0,0,1,1,1,0,0,16,0,6.90575,41,1,1,0,0,0,0,0,0,400
21,50,0,0,1,1,1,0,0,16,0,6.90575,41,2,0,1,0,0,0,0,0,441
22,50,0,0,1,1,1,0,0,16,0,7.37776,41,3,0,0,1,0,0,0,0,484
23,50,0,0,1,1,1,0,0,16,0,7.49109,41,4,0,0,0,1,0,0,0,529
24,50,0,0,1,1,1,0,0,16,0,7.57558,41,5,0,0,0,0,1,0,0,576
25,48,0,0,1,1,1,0,0,16,0,7.52833,41,6,0,0,0,0,0,1,0,625
26,47,0,0,1,1,1,0,0,16,0,7.745,41,7,0,0,0,0,0,0,1,676
30,38,1,1,0,1,0,1,1,12,1,6.2186,42,1,1,0,0,0,0,0,0,900
31,41,1,0,0,1,0,1,1,12,1,6.49375,42,2,0,1,0,0,0,0,0,961
32,51,1,0,0,1,0,1,1,12,1,6.58064,42,3,0,0,1,0,0,0,0,1024
33,50,1,1,0,1,0,1,1,12,1,6.6896,42,4,0,0,0,1,0,0,0,1089
34,42,1,1,0,1,0,1,1,12,1,6.79347,42,5,0,0,0,0,1,0,0,1156
35,50,1,1,0,1,0,1,1,12,1,6.92461,42,6,0,0,0,0,0,1,0,1225
