"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2009","2009",28.47696,,
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2010","2010",42.83685,,
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2011","2011",24.79812,,
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2012","2012",12.45725,,
"DR_2_F_CP","Cumulative drop-out rate to the last grade of lower secondary general education, female (%)","UGA","Uganda","2013","2013",19.13907,,
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2000","2000",37.61526,,
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2001","2001",7.64444,,
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2002","2002",31.85568,,
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2003","2003",30.06611,,
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2006","2006",8.02622,"‡","UIS Estimation"
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2007","2007",5.62277,"‡","UIS Estimation"
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2008","2008",10.4246,,
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2009","2009",29.36271,,
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2010","2010",38.68895,,
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2011","2011",20.13497,,
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2012","2012",8.74859,,
"DR_2_M_CP","Cumulative drop-out rate to the last grade of lower secondary general education, male (%)","UGA","Uganda","2013","2013",17.26492,,
"EA_1T8_AG25T99_GPI","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, gender parity index (GPI)","UGA","Uganda","2002","2002",0.54281,,
"EA_1T8_AG25T99_GPI","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, gender parity index (GPI)","UGA","Uganda","2008","2008",0.98381,,
"EA_1T8_AG25T99_GPI","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, gender parity index (GPI)","UGA","Uganda","2010","2010",0.72322,,
"EA_1T8_AG25T99_GPI","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, gender parity index (GPI)","UGA","Uganda","2012","2012",0.56564,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","UGA","Uganda","2002","2002",30.60846,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","UGA","Uganda","2008","2008",34.89214,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","UGA","Uganda","2010","2010",44.27227,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","UGA","Uganda","2012","2012",32.50425,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","1990","1990",98.34188,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","1991","1991",98.35792,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","1992","1992",98.39792,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","1993","1993",98.43981,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","1994","1994",98.48009,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","1995","1995",98.51856,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","1996","1996",98.55268,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","1997","1997",98.58307,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","1998","1998",98.64711,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","1999","1999",98.61972,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2000","2000",98.77242,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2001","2001",98.80331,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2002","2002",98.82592,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2003","2003",98.82127,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2004","2004",98.77664,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2005","2005",98.86651,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2006","2006",98.85756,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2007","2007",98.88234,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2008","2008",98.92536,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2009","2009",99.24816,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2010","2010",99.32937,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2011","2011",99.43032,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2012","2012",99.48618,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2013","2013",99.53182,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2014","2014",99.5596,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2015","2015",99.59143,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40530","Central and Eastern Europe","2016","2016",99.65054,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","1990","1990",82.25521,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","1991","1991",82.54024,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","1992","1992",83.01004,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","1993","1993",83.31312,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","1994","1994",83.64404,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","1995","1995",83.94414,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","1996","1996",84.32036,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","1997","1997",85.37972,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","1998","1998",86.42401,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","1999","1999",86.86949,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2000","2000",87.29756,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2001","2001",87.3778,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2002","2002",87.86907,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2003","2003",88.48467,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2004","2004",89.28738,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2005","2005",89.60127,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2006","2006",89.82175,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2007","2007",89.95332,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2008","2008",90.84678,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2009","2009",90.88876,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2010","2010",90.99009,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2011","2011",90.70929,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2012","2012",91.80463,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2013","2013",91.99458,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2014","2014",92.31065,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2015","2015",92.53836,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40030","Middle income countries","2016","2016",92.75883,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","1990","1990",94.68229,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","1991","1991",94.67094,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","1992","1992",94.64741,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","1993","1993",94.59864,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","1994","1994",94.64448,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","1995","1995",94.69685,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","1996","1996",94.87326,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","1997","1997",96.89484,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","1998","1998",96.96923,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","1999","1999",97.03511,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2000","2000",97.97317,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2001","2001",97.16328,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2002","2002",97.25842,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2003","2003",97.40673,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2004","2004",98.32257,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2005","2005",98.39477,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2006","2006",98.34171,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2007","2007",98.59156,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2008","2008",98.94965,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2009","2009",98.92157,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2010","2010",98.90749,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2011","2011",98.52089,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2012","2012",98.54786,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2013","2013",98.56895,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2014","2014",98.66567,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2015","2015",98.64931,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40515","East Asia and the Pacific","2016","2016",98.65114,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","UGA","Uganda","1991","1991",69.80079,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","UGA","Uganda","2002","2002",80.79116,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","UGA","Uganda","2006","2006",84.06565,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","UGA","Uganda","2010","2010",87.40883,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","UGA","Uganda","2012","2012",83.65888,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","1990","1990",74.33781,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","1991","1991",75.81765,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","1992","1992",76.73796,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","1993","1993",76.42694,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","1994","1994",77.2225,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","1995","1995",78.07895,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","1996","1996",79.10812,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","1997","1997",79.89968,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","1998","1998",80.56494,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","1999","1999",81.27705,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2000","2000",81.84388,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2001","2001",82.81173,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2002","2002",83.83494,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2003","2003",84.79444,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2004","2004",85.49126,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2005","2005",85.98923,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2006","2006",84.47208,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2007","2007",85.2769,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2008","2008",85.98876,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2009","2009",83.23642,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2010","2010",83.69446,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2011","2011",84.09765,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2012","2012",85.25531,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2013","2013",86.04529,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2014","2014",86.33986,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2015","2015",86.54769,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40525","Arab States","2016","2016",86.75071,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","1990","1990",58.13337,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","1991","1991",57.71357,"‡","UIS Estimation"
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","1992","1992",57.33725,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","1993","1993",57.31588,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","1994","1994",57.30135,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","1995","1995",57.68343,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","1996","1996",57.82226,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","1997","1997",58.17324,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","1998","1998",57.84759,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","1999","1999",58.10832,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2000","2000",58.17298,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2001","2001",58.56096,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2002","2002",60.44613,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2003","2003",61.10134,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2004","2004",63.02282,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2005","2005",62.12023,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2006","2006",62.42641,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2007","2007",63.81583,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2008","2008",63.26022,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2009","2009",64.95939,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2010","2010",65.30864,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2011","2011",68.01847,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2012","2012",69.77708,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2013","2013",70.41738,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2014","2014",71.46601,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2015","2015",72.17959,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40044","Low income countries","2016","2016",72.87411,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","1990","1990",65.33146,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","1991","1991",65.40763,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","1992","1992",65.65952,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","1993","1993",66.01655,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","1994","1994",66.35293,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","1995","1995",66.45958,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","1996","1996",66.78837,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","1997","1997",67.22475,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","1998","1998",67.13773,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","1999","1999",67.83583,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2000","2000",65.89254,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2001","2001",66.32075,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2002","2002",67.57613,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2003","2003",67.95693,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2004","2004",69.55611,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2005","2005",68.41178,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2006","2006",68.65908,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2007","2007",68.65248,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2008","2008",68.29559,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2009","2009",69.15333,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2010","2010",69.7855,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2011","2011",71.71721,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2012","2012",73.02348,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2013","2013",73.54344,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2014","2014",74.36873,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2015","2015",74.96081,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40540","Sub-Saharan Africa","2016","2016",75.51305,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","1990","1990",93.63994,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","1991","1991",93.79841,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","1992","1992",93.91295,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","1993","1993",94.02766,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","1994","1994",94.14162,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","1995","1995",94.29567,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","1996","1996",94.49694,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","1997","1997",96.25724,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","1998","1998",96.33879,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","1999","1999",96.44298,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","2000","2000",97.32565,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","2001","2001",96.68433,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","2002","2002",96.85958,,
"LR_AG15T24","Youth literacy rate, population 15-24 years, both sexes (%)","40043","Upper middle income countries","2003","2003",97.15615,,
